price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_basement,yr_built,lat,long
325000.0,3,1.75,1780,13095,1.0,4,9,0,1983,47.367,-122.152
257000.0,2,1.0,1000,3700,1.0,3,6,200,1929,47.552,-122.29
228500.0,3,1.0,1080,7486,1.5,3,6,90,1942,47.4838,-122.335
288000.0,3,2.25,2090,7500,1.0,4,7,810,1977,47.3951,-122.172
479000.0,2,2.5,1741,1439,2.0,3,8,295,2007,47.7043,-122.209
459900.0,3,1.75,2340,51836,1.5,3,8,830,1978,47.4846,-122.035
449500.0,5,2.75,2040,7488,1.0,4,7,840,1969,47.7289,-122.172
769000.0,5,2.25,3320,13138,1.0,4,9,1420,1964,47.759,-122.269
680000.0,3,1.75,1760,8400,1.0,4,8,300,1960,47.5355,-122.39
293500.0,3,2.5,1610,5024,2.0,3,7,0,2004,47.3833,-122.043
203000.0,3,1.75,1190,6000,1.0,3,7,0,1952,47.5026,-122.236
360000.0,5,3.0,2480,7200,1.0,3,7,920,1999,47.4586,-122.283
258000.0,3,2.0,1390,7200,1.0,3,7,0,1996,47.434,-122.154
245990.0,3,1.0,1040,8410,1.0,3,7,0,1942,47.453,-122.289
352000.0,5,2.75,2980,9838,1.0,3,7,1270,1968,47.3807,-122.222
300000.0,3,3.25,1470,1235,2.0,3,7,290,2008,47.5537,-122.313
430000.0,2,1.0,700,4800,1.0,3,7,0,1922,47.6147,-122.3
900000.0,5,3.0,4350,37169,2.0,3,10,1400,1972,47.6518,-122.16
285000.0,4,2.0,1760,5500,1.0,3,7,980,1925,47.5183,-122.265
353900.0,3,1.75,1560,5760,1.0,5,6,780,1927,47.5272,-122.359
780000.0,4,1.75,2480,9195,1.0,3,7,1090,1950,47.584,-122.195
600000.0,5,2.25,2760,6350,1.0,3,7,1380,1958,47.5561,-122.379
447055.0,4,2.5,2448,4949,2.0,3,9,0,2014,47.3428,-122.179
284200.0,3,1.75,1540,6632,1.0,3,7,470,1959,47.4973,-122.252
980000.0,5,2.5,3160,11470,1.0,4,9,1380,1971,47.5368,-122.216
469500.0,4,2.75,1930,13041,1.0,4,8,750,1980,47.7502,-122.085
879950.0,4,2.75,3020,7203,2.0,3,9,0,2014,47.6948,-122.178
570000.0,5,1.75,2510,9750,1.5,3,8,0,1969,47.6635,-122.149
550000.0,4,1.75,2480,14782,1.0,3,8,1020,1958,47.7646,-122.271
325000.0,3,1.0,1590,8160,1.0,3,7,500,1954,47.4013,-122.321
400000.0,5,2.5,2510,7525,1.5,4,7,800,1929,47.5422,-122.359
1130000.0,4,3.25,3810,8519,1.0,3,10,1130,2007,47.699,-122.207
