iter	RMSE
0	337511.2888
1	317615.6183
2	298629.9866
3	281525.0882
4	266828.0254
5	253285.447
6	241715.4801
7	231210.9749
8	221951.5287
9	213000.5232
10	205177.4506
11	198528.2433
12	193274.432
13	188183.7069
14	183720.1569
15	179464.2494
16	174977.5573
17	171367.7083
18	168403.5284
19	165848.2536
20	163477.1782
21	161569.3959
22	159009.7664
23	157138.7595
24	155374.2095
25	153890.1802
26	152589.1454
27	150915.9405
28	149636.3152
29	148783.8188
30	147647.308
31	146753.556
32	146064.1823
33	145738.9811
34	145123.1591
35	143857.1187
36	142768.8036
37	142130.6543
38	141531.142
39	140906.9838
40	140442.3624
41	139849.781
42	139026.8583
43	138629.263
44	138111.0092
45	137535.6815
46	137137.4428
47	136569.5099
48	136259.3446
49	136022.9508
50	135695.3031
51	134748.5823
52	134360.9764
53	133826.9582
54	133600.4138
55	133313.9036
56	132725.2294
57	132591.1533
58	132053.0512
59	131723.8279
60	131406.3677
61	131147.9268
62	130752.6832
63	130549.7729
64	130350.4657
65	129788.1078
66	129266.3653
67	128963.1135
68	128635.0556
69	128530.5845
70	128233.093
71	127898.3774
72	127452.3668
73	127065.8339
74	126689.5767
75	126339.1684
76	125981.3668
77	125745.2663
78	125479.3121
79	125149.8088
80	124578.0525
81	124246.8944
82	123806.2563
83	123583.7251
84	123238.9122
85	122923.95
86	122762.2647
87	122475.524
88	122204.9923
89	121857.6623
90	121584.6274
91	121272.8801
92	121020.3148
93	120784.0382
94	120636.3386
95	120497.1203
96	120438.919
97	120000.9762
98	119879.563
99	119529.3905
