iter	Passed	Remaining
0	7	780
1	14	700
2	20	647
3	26	628
4	32	610
5	38	603
6	44	593
7	50	583
8	57	579
9	63	571
10	70	566
11	75	556
12	81	547
13	88	540
14	93	531
15	99	523
16	105	517
17	112	510
18	118	506
19	124	498
20	130	491
21	137	486
22	142	478
23	148	471
24	155	467
25	162	461
26	168	455
27	174	448
28	180	441
29	187	436
30	192	429
31	198	422
32	204	416
33	207	403
34	211	392
35	217	387
36	223	381
37	229	373
38	234	367
39	240	360
40	245	353
41	251	347
42	256	340
43	262	334
44	268	328
45	274	321
46	279	315
47	285	308
48	290	302
49	295	295
50	301	289
51	306	283
52	312	277
53	318	271
54	323	264
55	329	258
56	334	252
57	340	246
58	347	241
59	353	235
60	358	229
61	364	223
62	369	216
63	374	210
64	380	204
65	385	198
66	391	192
67	396	186
68	402	180
69	408	175
70	413	169
71	419	163
72	425	157
73	430	151
74	436	145
75	442	139
76	448	133
77	453	128
78	459	122
79	465	116
80	471	110
81	477	104
82	482	98
83	488	92
84	493	87
85	499	81
86	504	75
87	510	69
88	516	63
89	521	57
90	527	52
91	533	46
92	538	40
93	544	34
94	550	28
95	555	23
96	561	17
97	567	11
98	572	5
99	578	0
