iter	RMSE
0	0.9485873111
1	0.9074160758
2	0.8689468027
3	0.8339581928
4	0.7999803525
5	0.7682867669
6	0.73879275
7	0.7126795375
8	0.6877440163
9	0.6647499069
10	0.6434973387
11	0.6256008317
12	0.6069403984
13	0.5899046161
14	0.5742195656
15	0.5596180678
16	0.5468390885
17	0.5336192512
18	0.5217725293
19	0.5112901393
20	0.5005712231
21	0.4914892204
22	0.4832518998
23	0.4760930527
24	0.4680569251
25	0.4615397731
26	0.4555138433
27	0.4500584538
28	0.4443574853
29	0.4390503827
30	0.4347138295
31	0.4309153045
32	0.4264153249
33	0.4220743862
34	0.418677579
35	0.4143605353
36	0.4107213082
37	0.4082000223
38	0.4052820546
39	0.4028825089
40	0.4007051017
41	0.3987625968
42	0.3967492974
43	0.3944821641
44	0.3926207231
45	0.3902006716
46	0.3884332995
47	0.3863728977
48	0.3849739686
49	0.3838128363
50	0.3825552643
51	0.381529203
52	0.3793136312
53	0.3780686553
54	0.3764392188
55	0.3748777912
56	0.3737392621
57	0.3728149131
58	0.3714326566
59	0.3702559406
60	0.3692365434
61	0.3680163582
62	0.3673064316
63	0.3666355499
64	0.3660801666
65	0.3655265049
66	0.3650761068
67	0.3640438353
68	0.3634974771
69	0.3629872626
70	0.3624804918
71	0.3611845118
72	0.3607011685
73	0.3599235352
74	0.3593019799
75	0.3583041749
76	0.3577401955
77	0.3570517704
78	0.3565789503
79	0.3559352369
80	0.3549254657
81	0.3544426091
82	0.353973346
83	0.3530391036
84	0.3523616005
85	0.351618714
86	0.3512832992
87	0.3510387194
88	0.3505076654
89	0.349964846
90	0.3492068641
91	0.3487663595
92	0.3481992709
93	0.3474012437
94	0.3468822555
95	0.3464365878
96	0.3459910699
97	0.3456827315
98	0.3453439627
99	0.3448357119
100	0.3445473135
101	0.3443525256
102	0.3438438618
103	0.3435618833
104	0.3430157847
105	0.3428184755
106	0.3425813994
107	0.3423168203
108	0.3419539424
109	0.3415661031
110	0.3411800809
111	0.3408336701
112	0.34058888
113	0.3399942136
114	0.3397899058
115	0.3394683176
116	0.3392892938
117	0.3388717336
118	0.3386616345
119	0.3385216907
120	0.33821611
121	0.3375242995
122	0.3366776573
123	0.3362129479
124	0.3360075063
125	0.3356829543
126	0.3352042021
127	0.3349698105
128	0.3347196579
129	0.3343035723
130	0.3341219815
131	0.3339704054
132	0.3336713576
133	0.3334853827
134	0.3333214975
135	0.333187981
136	0.33299698
137	0.3326911501
138	0.3325183869
139	0.3321373533
140	0.3319763226
141	0.3315406079
142	0.3312175461
143	0.3309029882
144	0.3307125235
145	0.330346485
146	0.3301001268
147	0.3298101647
148	0.3296420672
149	0.3294114327
150	0.3291105597
151	0.3285801008
152	0.3283336963
153	0.32816286
154	0.3278049126
155	0.3276326022
156	0.3272320045
157	0.3270977321
158	0.3268856672
159	0.3267272126
160	0.3265893544
161	0.3264110352
162	0.326258925
163	0.3260388182
164	0.3257805962
165	0.3253889486
166	0.3252171051
167	0.3248618157
168	0.3246876149
169	0.3244475162
170	0.3241058706
171	0.3240066384
172	0.3238401532
173	0.3236360678
174	0.3233618387
175	0.323197198
176	0.3230623874
177	0.3228269697
178	0.3226202439
179	0.3224510329
180	0.3222765662
181	0.3220690243
182	0.3217980846
183	0.3216077285
184	0.3214892731
185	0.3213992994
186	0.3212603431
187	0.3210521295
188	0.3208428306
189	0.3207157655
190	0.3204693398
191	0.3202257595
192	0.3200636802
193	0.3198437476
194	0.3197744943
195	0.319601927
196	0.3194345755
197	0.319204582
198	0.3191093972
199	0.3188316743
200	0.3185372881
201	0.3184100213
202	0.3182534053
203	0.3180215705
204	0.3178814417
205	0.3177080615
206	0.3176411594
207	0.3174141286
208	0.3172971033
209	0.3171724091
210	0.3170765265
211	0.3167466827
212	0.3166188921
213	0.3163970573
214	0.3161891217
215	0.3159735305
216	0.3157884136
217	0.315660374
218	0.3154458707
219	0.3152384064
220	0.3151271907
221	0.315056378
222	0.3149472659
223	0.3148291538
224	0.3147031639
225	0.3145121592
226	0.3142811545
227	0.314117882
