iter	Passed	Remaining
0	5	5753
1	11	5503
2	14	4916
3	18	4718
4	23	4587
5	29	4836
6	34	4836
7	40	4968
8	47	5200
9	51	5142
10	56	5047
11	62	5154
12	68	5227
13	74	5238
14	78	5159
15	82	5083
16	86	5020
17	92	5070
18	97	5024
19	100	4939
20	104	4854
21	107	4799
22	111	4755
23	115	4710
24	118	4639
25	122	4584
26	125	4539
27	128	4475
28	131	4414
29	134	4356
30	138	4321
31	142	4299
32	145	4253
33	148	4206
34	150	4159
35	154	4126
36	158	4117
37	161	4092
38	164	4057
39	167	4021
40	171	4000
41	174	3986
42	177	3953
43	180	3928
44	183	3897
45	187	3880
46	191	3874
47	194	3865
48	197	3838
49	200	3811
50	204	3809
51	207	3787
52	210	3766
53	213	3741
54	216	3717
55	219	3705
56	223	3696
57	226	3675
58	229	3658
59	232	3639
60	235	3628
61	239	3627
62	242	3610
63	245	3590
64	248	3573
65	251	3565
66	255	3559
67	259	3553
68	262	3536
69	264	3519
70	268	3510
71	272	3511
72	275	3501
73	278	3487
74	281	3472
75	285	3469
76	288	3453
77	290	3438
78	293	3425
79	296	3412
80	300	3410
81	303	3399
82	306	3385
83	309	3373
84	312	3359
85	315	3354
86	318	3346
87	321	3333
88	324	3322
89	327	3310
90	330	3303
91	334	3299
92	337	3289
93	340	3277
94	342	3267
95	346	3260
96	349	3256
97	352	3246
98	355	3236
99	358	3226
100	361	3217
101	365	3215
102	368	3205
103	371	3196
104	373	3186
105	376	3176
106	380	3172
107	383	3164
108	386	3155
109	388	3146
110	391	3137
111	396	3139
112	399	3136
113	402	3127
114	405	3118
115	407	3109
116	411	3104
117	414	3099
118	417	3090
119	420	3081
120	423	3074
121	426	3069
122	430	3066
123	433	3059
124	435	3051
125	438	3044
126	442	3039
127	445	3034
128	448	3028
129	451	3021
130	454	3013
131	457	3006
132	460	3005
133	463	2998
134	466	2991
135	469	2983
136	472	2978
137	476	2975
138	479	2969
139	482	2963
140	485	2956
141	488	2949
142	491	2947
143	494	2942
144	497	2935
145	500	2928
146	503	2922
147	507	2919
148	510	2915
149	513	2908
150	516	2901
151	518	2895
152	522	2890
153	525	2888
154	528	2882
155	531	2875
156	534	2869
157	537	2864
158	541	2864
159	544	2857
160	547	2851
161	550	2845
162	553	2839
163	556	2837
164	560	2837
165	563	2833
166	566	2827
167	569	2822
168	573	2820
169	576	2815
170	579	2809
171	582	2803
172	585	2797
173	588	2795
174	591	2790
175	594	2784
176	597	2777
177	600	2772
178	604	2771
179	607	2766
180	610	2760
181	612	2755
182	615	2750
183	619	2747
184	622	2742
185	625	2736
186	628	2730
187	630	2725
188	634	2721
189	637	2718
190	640	2714
191	643	2709
192	646	2703
193	649	2698
194	652	2695
195	655	2689
196	658	2684
197	661	2679
198	664	2673
199	667	2670
200	671	2668
201	674	2665
202	677	2660
203	680	2654
204	684	2652
205	687	2648
206	689	2643
207	692	2638
208	695	2633
209	699	2629
210	702	2626
211	705	2621
212	708	2616
213	710	2611
214	714	2607
215	717	2605
216	720	2601
217	723	2596
218	726	2591
219	729	2586
220	733	2584
221	736	2579
222	738	2574
223	741	2569
224	744	2564
225	748	2562
226	751	2559
227	754	2555
228	757	2550
229	760	2545
230	763	2542
231	766	2538
232	769	2534
233	772	2529
234	775	2525
235	779	2522
236	782	2519
237	785	2514
238	788	2510
239	791	2505
240	795	2505
241	800	2505
242	802	2500
243	805	2495
244	808	2491
245	811	2488
246	815	2484
247	817	2480
248	820	2475
249	823	2471
250	827	2468
251	830	2465
252	833	2460
253	836	2456
254	839	2451
255	842	2449
256	846	2446
257	849	2442
258	852	2437
259	854	2432
260	857	2429
261	861	2426
262	864	2422
263	867	2418
264	870	2413
265	872	2408
266	877	2409
267	880	2405
268	883	2400
269	886	2396
270	889	2392
271	893	2392
272	896	2387
273	899	2383
274	902	2378
275	905	2375
276	909	2374
277	912	2370
278	916	2367
279	919	2364
280	923	2363
281	927	2361
282	930	2358
283	934	2356
284	943	2368
285	950	2373
286	957	2378
287	963	2381
288	968	2382
289	975	2387
290	979	2387
291	984	2386
292	989	2387
293	993	2384
294	1034	2471
295	1042	2480
296	1046	2476
297	1053	2481
298	1058	2482
299	1061	2477
300	1064	2471
301	1067	2466
302	1070	2462
303	1073	2458
304	1076	2452
305	1079	2447
306	1082	2442
307	1085	2438
308	1088	2435
309	1091	2430
310	1094	2424
311	1097	2419
312	1100	2414
313	1103	2411
314	1106	2406
